day,poms_tot,poms_tot_w,poms_tot_g,poms_tot_h,poms_tot_m,inters_tot,inters_tot_p,inters_tot_m,inters_tot_s,inters_tot_o
20160911,2,0,0,2,0,NA,NA,NA,NA,NA
20160912,18,10,5,1,2,4,2,2,0,0
20160913,20,13,6,1,0,5,2,0,1,2
20160914,12,7,1,4,0,3,2,0,1,0
20160915,16,8,5,0,3,3,0,1,1,1
20160916,23,10,11,0,2,6,5,0,1,0
20160917,1,0,1,0,0,NA,NA,NA,NA,NA
20160918,1,0,1,0,0,NA,NA,NA,NA,NA
20160919,18,11,5,1,1,4,2,1,1,0
20160920,14,10,3,1,0,3,3,0,0,0
20160921,14,9,5,0,0,3,3,0,0,0
20160922,13,6,7,0,0,3,1,1,1,0
20160923,11,4,3,4,0,2,1,0,1,0
20160924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160926,17,6,8,1,2,3,2,1,0,0
20160927,12,6,4,1,1,4,2,0,2,0
20160928,13,5,6,2,0,5,3,1,1,0
20160929,17,6,8,2,1,2,0,0,2,0
20160930,8,4,3,1,0,7,6,1,0,0
20161001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161003,10,2,6,2,0,NA,NA,NA,NA,NA
20161004,16,12,4,0,0,NA,NA,NA,NA,NA
20161005,18,8,7,1,2,5,4,1,0,0
20161006,13,5,5,1,2,11,9,1,0,1
20161007,15,11,3,1,0,3,2,0,1,0
20161008,7,0,5,1,1,NA,NA,NA,NA,NA
20161009,9,0,7,2,0,NA,NA,NA,NA,NA
20161010,13,7,4,2,0,8,6,1,1,0
20161011,13,10,2,1,0,4,1,1,2,0
20161012,17,5,9,2,1,4,2,1,1,0
20161013,18,7,9,2,0,5,3,0,1,1
20161014,17,8,9,0,0,2,1,0,1,0
20161015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161016,5,0,5,0,0,NA,NA,NA,NA,NA
20161017,14,11,3,0,0,5,1,1,2,1
20161018,13,7,4,0,2,9,6,3,0,0
20161019,11,7,3,1,0,2,1,0,1,0
20161020,15,6,6,3,0,5,3,0,1,1
20161021,16,10,4,0,2,2,1,0,0,1
20161022,7,0,3,4,0,NA,NA,NA,NA,NA
20161023,7,0,4,3,0,NA,NA,NA,NA,NA
20161024,16,9,5,1,1,6,3,2,1,0
20161025,14,8,5,1,0,2,0,0,1,1
20161026,15,9,3,0,3,4,1,1,2,0
20161027,12,8,2,2,0,8,4,1,2,1
20161028,3,3,0,0,0,1,0,1,0,0
20161029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161031,17,10,5,2,0,12,11,0,0,1
20161101,12,6,3,1,2,8,3,3,2,0
20161102,16,12,3,1,0,3,0,3,0,0
20161103,13,7,3,3,0,7,1,6,0,0
20161104,14,8,4,2,0,3,2,0,1,0
20161105,1,0,1,0,0,NA,NA,NA,NA,NA
20161106,13,0,7,4,2,NA,NA,NA,NA,NA
20161107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20161127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
